antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
베이지,화이트,0.19588614468111512,0.4364285825098124,0.042635628849346095,0.2176551532971004,0.4987188328624346,1.0,-0.04285468360714501,0.7203618965029207,-0.5555544536262614,0.07230310344940986,-0.388191136780852,0.15767363137319407
화이트,베이지,0.4364285825098124,0.19588614468111512,0.042635628849346095,0.09769210944928773,0.49871883286243457,1.0,-0.04285468360714501,0.8911745799187284,-0.6407419557374936,0.07230310344940986,-0.12211459183586246,0.15767363137319407
블랙,베이지,0.2714826478847019,0.19588614468111512,0.03695954017282303,0.13613960398868538,0.6949935341792974,1.0,-0.01622014906913191,0.9308377360875714,-0.37593794240606465,0.08587069159720659,-0.07430109591723953,0.16240914445521407
베이지,블랙,0.19588614468111512,0.2714826478847019,0.03695954017282303,0.18867868492174275,0.6949935341792975,1.0,-0.01622014906913191,0.8979393719552751,-0.35307379204904266,0.08587069159720659,-0.11366093439302767,0.16240914445521407
스카이블루,화이트,0.13534766285545852,0.4364285825098124,0.05387727082331405,0.3980657640232108,0.9120982904786281,1.0,-0.005192317822709708,0.9362674255862049,-0.10028149770935836,0.10403046437959157,-0.06807090866574964,0.2607580679669761
화이트,스카이블루,0.4364285825098124,0.13534766285545852,0.05387727082331405,0.12345037191074143,0.9120982904786281,1.0,-0.005192317822709708,0.9864271336573933,-0.14603208169199638,0.10403046437959157,-0.013759623878433177,0.2607580679669761
베이지,스카이블루,0.19588614468111512,0.13534766285545852,0.013295272964209808,0.06787245206062587,0.5014674847626199,1.0,-0.013217458904145331,0.9276116117971215,-0.5528380956321668,0.04181711720503562,-0.07803738901309766,0.08305149216685566
스카이블루,베이지,0.13534766285545852,0.19588614468111512,0.013295272964209808,0.09823053227308545,0.5014674847626199,1.0,-0.013217458904145331,0.8917066768137653,-0.5348329381954978,0.04181711720503562,-0.12144500652746829,0.08305149216685566
블랙,스카이블루,0.2714826478847019,0.13534766285545852,0.013134317938534572,0.04837995371296323,0.3574494948215657,1.0,-0.023610223958471215,0.9086108899430821,-0.7116056695904418,0.03336157385059453,-0.10058113001776012,0.07271064452608544
스카이블루,블랙,0.13534766285545852,0.2714826478847019,0.013134317938534572,0.09704133533920767,0.3574494948215656,1.0,-0.023610223958471215,0.8068114085698206,-0.6752174964004721,0.03336157385059453,-0.23944702489102337,0.07271064452608544
스카이블루,블루,0.13534766285545852,0.14716913076529267,0.00473556834577018,0.034988179669030735,0.23774129457100865,1.0,-0.01518342954778154,0.8837517336753582,-0.7876019471158435,0.01704783446427075,-0.13153950583065568,0.033582954126723935
블루,스카이블루,0.14716913076529267,0.13534766285545852,0.00473556834577018,0.03217772858441713,0.23774129457100865,1.0,-0.01518342954778154,0.8933999171974621,-0.7898957187566471,0.01704783446427075,-0.11931955751343186,0.033582954126723935
네이비,화이트,0.09379605640794923,0.4364285825098124,0.03337780604725484,0.3558551108170691,0.8153799386158863,1.0,-0.007557473895876847,0.8749140557570096,-0.19990898516536745,0.06717926700753288,-0.14296940758913876,0.21616726676669748
화이트,네이비,0.4364285825098124,0.09379605640794923,0.03337780604725484,0.07647942271632585,0.8153799386158863,1.0,-0.007557473895876847,0.9812493255509734,-0.2866126309226732,0.06717926700753288,-0.0191089807256664,0.21616726676669748
블랙,네이비,0.2714826478847019,0.09379605640794923,0.009046448129818955,0.03332238063944684,0.3552641967644896,1.0,-0.016417553624953965,0.9374417338755551,-0.7135569945059875,0.025394803455653,-0.06673296468871476,0.0648852227378511
네이비,블랙,0.09379605640794923,0.2714826478847019,0.009046448129818955,0.09644806483625538,0.3552641967644896,1.0,-0.016417553624953965,0.8062816577148648,-0.6669605154011906,0.025394803455653,-0.24026137818162058,0.0648852227378511
베이지,네이비,0.19588614468111512,0.09379605640794923,0.011125288943359344,0.056794669992971204,0.6055123442072331,1.0,-0.007248058932686234,0.9607705923219261,-0.4475752137032805,0.03993901590042049,-0.04083119112052229,0.08770307432827522
네이비,베이지,0.09379605640794923,0.19588614468111512,0.011125288943359344,0.11861147866357923,0.605512344207233,1.0,-0.007248058932686234,0.9123262169328382,-0.4182415463977788,0.03993901590042049,-0.0960991599714338,0.08770307432827522
스카이블루,네이비,0.13534766285545852,0.09379605640794923,0.003975395212460634,0.029371731499391072,0.3131446312800611,1.0,-0.008719681807414049,0.9336261604990359,-0.7172550730654608,0.01765521517831767,-0.07109252322737662,0.03587756273944082
네이비,스카이블루,0.09379605640794923,0.13534766285545852,0.003975395212460634,0.04238339397949058,0.3131446312800611,1.0,-0.008719681807414049,0.9029212021893688,-0.7076399802171103,0.01765521517831767,-0.10751635643867735,0.03587756273944082
네이비,블루,0.09379605640794923,0.14716913076529267,0.003919157914333142,0.04178382401587827,0.2839170402012884,1.0,-0.009884726176437106,0.8900192781225177,-0.7356741830524438,0.01653332024411394,-0.12357116815434052,0.034207061366888156
